cz,NAICS4,year,emp
100,3111,2011,20
100,3112,2011,70
100,3113,2011,80
100,3114,2011,60
100,3116,2011,20
100,3118,2011,120
100,3119,2011,175
100,3121,2011,355
100,3122,2011,10
100,3131,2011,60
100,3132,2011,60
100,3133,2011,605
100,3141,2011,10
100,3149,2011,230
100,3151,2011,60
100,3152,2011,190
100,3159,2011,60
100,3169,2011,10
100,3211,2011,120
100,3212,2011,240
100,3219,2011,1107
100,3221,2011,375
100,3222,2011,1295
100,3231,2011,1256
100,3241,2011,20
100,3251,2011,17510
100,3252,2011,840
100,3253,2011,10
100,3254,2011,760
100,3256,2011,70
100,3259,2011,770
100,3261,2011,2565
100,3262,2011,815
100,3271,2011,140
100,3272,2011,785
100,3273,2011,490
100,3279,2011,195
100,3311,2011,375
100,3312,2011,10
100,3313,2011,185
100,3314,2011,490
100,3315,2011,305
100,3321,2011,550
100,3322,2011,445
100,3323,2011,1079
100,3324,2011,560
100,3325,2011,185
100,3326,2011,175
100,3327,2011,746
100,3328,2011,310
100,3329,2011,695
100,3331,2011,2044
100,3332,2011,100
100,3333,2011,20
100,3334,2011,2475
100,3335,2011,676
100,3339,2011,1010
100,3341,2011,10
100,3342,2011,60
100,3344,2011,30
100,3345,2011,20
100,3351,2011,175
100,3352,2011,925
100,3353,2011,805
100,3359,2011,455
100,3362,2011,1320
100,3363,2011,2235
100,3364,2011,550
100,3369,2011,10
100,3371,2011,270
100,3372,2011,140
100,3379,2011,495
100,3391,2011,611
100,3399,2011,545
10000,3117,2011,70
10000,3121,2011,10
10000,3131,2011,10
10000,3149,2011,20
10000,3212,2011,20
10000,3219,2011,90
10000,3221,2011,375
10000,3222,2011,60
10000,3231,2011,242
10000,3251,2011,185
10000,3255,2011,60
10000,3259,2011,10
10000,3272,2011,10
10000,3273,2011,57
10000,3279,2011,20
10000,3312,2011,10
10000,3314,2011,10
10000,3321,2011,175
10000,3323,2011,101
10000,3327,2011,175
10000,3328,2011,60
10000,3329,2011,130
10000,3331,2011,175
10000,3334,2011,750
10000,3339,2011,195
10000,3351,2011,70
10000,3353,2011,10
10000,3359,2011,20
10000,3362,2011,15
10000,3364,2011,10
10000,3366,2011,820
10000,3369,2011,10
10000,3371,2011,30
10000,3372,2011,10
10000,3379,2011,10
10000,3391,2011,20
10000,3399,2011,62
1001,3113,2011,60
1001,3116,2011,175
1001,3118,2011,60
1001,3119,2011,185
1001,3121,2011,10
1001,3131,2011,175
1001,3133,2011,10
1001,3141,2011,20
1001,3151,2011,60
1001,3152,2011,10
1001,3162,2011,10
1001,3169,2011,60
1001,3211,2011,70
1001,3219,2011,100
1001,3222,2011,10
1001,3231,2011,70
1001,3255,2011,10
1001,3256,2011,10
1001,3271,2011,10
1001,3273,2011,20
1001,3279,2011,60
1001,3322,2011,10
1001,3323,2011,40
1001,3324,2011,10
1001,3327,2011,30
1001,3329,2011,195
1001,3344,2011,175
1001,3363,2011,60
1001,3371,2011,170
1001,3372,2011,10
1001,3391,2011,185
1001,3399,2011,22
1002,3113,2011,10
1002,3114,2011,60
1002,3115,2011,10
1002,3116,2011,770
1002,3118,2011,385
1002,3121,2011,90
1002,3131,2011,505
1002,3132,2011,545
1002,3133,2011,760
1002,3141,2011,395
1002,3149,2011,70
1002,3151,2011,305
1002,3152,2011,40
1002,3159,2011,10
1002,3211,2011,190
1002,3212,2011,579
1002,3219,2011,345
1002,3222,2011,295
1002,3231,2011,60
1002,3241,2011,20
1002,3252,2011,98
1002,3254,2011,1750
1002,3255,2011,10
1002,3256,2011,10
