CZ;naics;emp
11101;3116;10
11101;3118;10
11101;3131;60
11101;3133;10
11101;3149;60
11101;3221;375
11101;3231;10
11101;3261;60
11101;3273;10
11101;3323;12
11101;3327;10
11101;3329;60
11101;3331;60
11101;3353;10
11101;3359;10
11101;3363;60
11101;3371;10
11101;3399;60
11001;3113;10
11001;3116;60
11001;3117;175
11001;3118;11
11001;3119;10
11001;3121;10
11001;3131;60
11001;3141;10
11001;3149;10
11001;3152;10
11001;3169;10
11001;3211;60
11001;3212;60
11001;3219;175
11001;3222;175
11001;3231;60
11001;3241;10
11001;3251;10
11001;3255;10
11001;3256;10
11001;3259;10
11001;3261;175
11001;3273;105
11001;3279;60
11001;3313;175
11001;3323;60
11001;3324;10
11001;3327;77
11001;3328;10
11001;3329;60
11001;3333;22
11001;3334;175
11001;3335;10
11001;3336;10
11001;3339;275
11001;3345;10
11001;3363;10
11001;3364;750
11001;3366;10
11001;3371;750
11001;3379;10
11001;3391;175
11001;3399;32
10301;3116;1750
10301;3119;10
10301;3131;375
10301;3211;175
10301;3212;60
10301;3219;175
10301;3231;10
10301;3251;60
10301;3252;10
10301;3253;10
10301;3262;60
10301;3273;10
10301;3311;10
10301;3321;10
10301;3323;375
10301;3327;10
10301;3345;375
10301;3351;375
10301;3363;60
10301;3399;175
10801;3211;113
10801;3212;60
10801;3219;175
10801;3251;60
10801;3261;10
10801;3279;10
10801;3327;10
10801;3332;10
10801;3339;10
10700;3116;750
10700;3152;175
10700;3211;60
10700;3212;10
10700;3259;60
10700;3261;10
10700;3262;60
10700;3273;10
10700;3315;60
10700;3323;145
10700;3326;60
10700;3327;175
10700;3332;10
10700;3335;10
10700;3339;10
10700;3359;10
10700;3363;10
10700;3371;10
10700;3391;60
9800;3112;10
9800;3116;750
9800;3256;60
9800;3329;10
11101;3141;175
11101;3212;375
11101;3231;10
11101;3261;60
11101;3273;10
11101;3312;175
11101;3321;60
11101;3323;10
11101;3335;10
11101;3342;10
11101;3363;375
11101;3399;10
9600;3116;60
9600;3118;10
9600;3121;60
9600;3122;10
9600;3141;175
9600;3149;60
9600;3152;10
9600;3211;10
9600;3212;175
9600;3219;292
9600;3221;60
9600;3231;60
9600;3251;60
9600;3252;10
9600;3254;10
9600;3259;60
9600;3261;60
9600;3262;60
9600;3271;60
9600;3273;56
9600;3314;60
9600;3315;783
9600;3321;375
9600;3322;60
9600;3323;375
9600;3326;10
9600;3327;126
9600;3328;60
9600;3329;899
9600;3331;10
9600;3332;10
9600;3339;60
9600;3344;10
9600;3353;10
9600;3362;750
9600;3363;662
9600;3364;60
9600;3369;375
9600;3371;33
9600;3372;175
9600;3379;10
9600;3391;60
9600;3399;44
9600;3116;10
9600;3121;10
9600;3132;10
9600;3149;60
9600;3211;60
9600;3212;10
9600;3219;60
9600;3222;375
9600;3231;10
9600;3261;60
9600;3262;60
9600;3279;175
9600;3323;60
9600;3327;60
9600;3344;175
9600;3363;453
6600;3131;375
6600;3132;10
6600;3149;10
6600;3151;10
6600;3152;375
6600;3211;10
6600;3212;10
6600;3219;10
6600;3255;60
6600;3261;10
6600;3273;10
6600;3327;10
6600;3329;10
6600;3332;10
6600;3334;10
6600;3363;375
6600;3371;10
6600;3391;10
10700;3116;10
10700;3118;60
10700;3152;10
10700;3211;175
10700;3212;175
10700;3219;10
10700;3231;60
10700;3261;175
10700;3273;17
10700;3315;60
10700;3323;72
10700;3327;10
10700;3329;10
10700;3331;10
10700;3333;60
10700;3351;10
10700;3363;375
10700;3371;59
10700;3391;10
10700;3399;60
10802;3211;60
10802;3221;1750
10802;3251;10
10802;3323;10
11001;3116;10
11001;3118;10
11001;3149;60
11001;3211;375
11001;3212;375
11001;3219;60
11001;3221;750
11001;3231;10
11001;3251;10
11001;3273;10
11001;3323;60
11001;3327;10
11001;3329;10
11001;3371;60
11001;3399;10
9500;3116;375
9500;3149;60
9500;3211;10
9500;3273;10
9500;3371;829
9600;3152;175
9600;3219;10
9600;3259;10
9600;3273;10
9600;3313;175
9600;3323;10
9600;3334;10
9600;3362;10
9600;3399;10
10302;3111;60
10302;3112;175
10302;3116;2089
10302;3118;10
10302;3141;60
10302;3149;60
10302;3231;10
10302;3259;10
10302;3261;10
10302;3262;175
10302;3273;10
