CZ;L_non_manuf
11101;115204
11001;194307
10301;10479
10801;74757
10700;403472
9800;38707
9600;115616
6600;110970
10802;11578
9500;24688
10302;71369
6200;55035
11002;16001
11102;20873
6100;66193
10600;28846
6000;188187
10501;23171
9701;88270
34101;453
34114;1545
34102;174877
34112;4339
34104;498
34107;1861
34115;30518
34109;13068
34111;6443
34108;3721
34106;2427
34113;3444
34110;5171
34103;3657
35500;41635
35100;319121
35401;91519
35001;1422825
35002;12694
38300;5562660
37901;755116
38100;65533
4301;8582
4101;5169
25101;14722
30300;165978
25103;18985
4102;35086
4103;24022
34001;55702
25900;57167
25104;11800
4001;7019
4200;269495
30100;98139
5300;29759
30000;34292
25102;19717
25105;17534
4302;25545
33500;68949
25800;25570
34002;20657
37800;1793513
37400;799872
37300;85727
36901;9242
37200;328284
36700;33652
37903;13597
37100;168654
37700;157030
36501;29820
37000;153975
37500;949898
37603;4365
38000;1036788
38200;199652
36600;54017
28900;1099468
34805;12484
35300;59120
28501;884
28502;53650
28701;5646
28401;222984
35201;71742
35402;10525
28702;89280
28703;7816
35202;8259
28503;5516
28704;11299
28504;3835
28800;157113
28402;1609
28301;11033
36401;23656
28302;5390
20901;1293345
19901;152928
19800;264358
11304;2341591
7900;94168
7600;479721
10000;59997
7300;189752
7000;607465
9900;120279
6900;235604
7800;96187
7200;265796
7700;34917
10900;192552
7500;147737
7100;538800
6800;174266
6700;907219
7400;866890
9001;25987
8601;28496
9002;18802
9400;78803
9301;63058
8501;6242
8503;69447
8900;124146
8602;31355
8800;172359
8702;26019
8401;162947
9200;28333
6401;179829
9100;1813855
8502;8556
10101;9436
10200;47433
9302;19064
8701;23816
6501;9497
10102;17868
8402;8357
9003;21638
9702;14266
1201;13105
1204;16555
35600;49642
34701;329733
34702;24540
34703;61670
35801;190560
35803;3983
36301;92728
36403;3675
38601;217396
35701;43193
34501;2639
35702;10440
38401;26327
36302;3366
36200;40004
38402;16730
35802;14165
36303;17795
25000;49983
25601;67359
24900;98601
24400;178009
24801;21606
23900;198423
23500;124433
24802;99170
23301;25324
23302;31180
25500;40157
24300;3224774
23400;84218
14801;14192
23700;36757
25602;10932
23600;38040
23801;141702
24200;37690
23200;64274
14802;16661
25401;49741
24701;982520
14500;86187
14700;158842
14100;192432
14300;52299
14000;107176
14200;686574
13900;43880
13101;458526
14400;70924
14600;77624
12800;37997
13700;91593
12600;27524
13800;34402
14900;195967
13102;13335
13600;194838
27501;296986
28201;12272
26106;7134
27503;12351
22200;108736
22001;75641
27401;15624
27402;29703
27504;18323
22100;81092
21801;27081
21802;21030
27502;10434
27301;22507
23802;27510
22300;41588
27302;14645
22002;9060
28202;379664
21900;28746
27201;21157
28001;68040
27202;19269
29401;16716
29501;19353
29001;7204
29004;15816
29901;88547
29201;7406
29301;191951
29402;13960
29303;11098
28606;1463
29003;13474
29203;44535
29101;5757
29002;723
28601;1975
29503;47751
29204;116694
29006;16530
29005;25817
31001;14084
28604;6702
29007;2670
31002;4665
29302;24090
29502;789362
29403;47066
29008;1978
29104;24644
29202;5516
31004;9936
29103;3969
31006;7893
28602;2202
28603;3413
31003;3044
28605;3084
4601;20471
5401;53887
12901;201930
5402;18704
12902;8521
301;14177
12701;778317
17100;100155
12903;22756
12702;10967
4501;8617
13000;43635
13200;52844
25200;39001
25402;12055
5900;62474
4401;41205
4602;27702
4402;24236
17000;48114
25300;25703
4502;26678
13103;17492
3800;203409
3700;88993
3500;324822
3400;95039
3600;54899
4002;177069
3901;79452
3201;5890
3202;17915
3902;3571
4003;21382
3300;445378
3203;23765
4004;4505
20100;274871
20003;19477
20001;95695
20002;6921
20600;432525
17501;43590
11302;1002231
19902;49979
17400;125730
20500;2268519
20902;63434
20401;538170
20403;5555
20800;210636
20402;4262
12401;19490
11401;36370
12200;405507
12301;51868
11900;148203
21002;11035
12100;154195
12302;24265
11403;13063
11800;32572
11700;137928
12402;25634
11402;31698
11600;1631366
21003;7690
11500;66925
12001;26168
12002;13989
13501;269217
21600;48134
21501;1435331
26701;32619
21400;105114
26601;6168
21301;58113
26002;101769
27101;31838
26801;111897
26003;2394
21701;91345
26901;40163
21702;21367
22900;84331
21502;10773
26702;9742
26004;4022
26001;5638
27102;21236
21201;20048
26703;10637
26902;17776
26704;42642
21202;9474
21302;37300
22800;110284
5100;27320
3101;23670
3001;6798
5201;11124
4800;29289
5000;56600
4701;21208
10502;21982
10400;44968
4702;33129
3003;199098
2900;52539
5202;465797
2700;122011
3002;5726
2800;29791
3102;12109
26107;10908
29505;8494
24702;7664
29800;45403
29902;11799
29504;25399
25701;62895
29601;119160
25702;18881
29602;21256
26102;13539
26103;4445
29700;171384
24500;27983
29506;4561
26104;3129
24600;35879
26101;13994
26105;1953
34401;2775
34304;16048
34201;7697
34403;27217
34308;69644
26401;953
34203;32108
34305;5224
26405;798
26409;4345
34404;18738
26402;1478
34204;3830
34503;37693
34402;43506
34306;310
34202;6352
34502;4218
26406;3087
34309;1090
34504;56390
26408;3904
34307;3851
26411;10341
26407;1376
27901;13841
27801;20332
28304;2958
27802;16965
27701;20172
27001;4657
27003;2073
28608;22678
28002;5696
27005;14585
28607;6301
27702;38506
28305;2804
28609;13325
27902;9115
28101;132260
28303;607
27002;3175
27903;30944
28102;10009
28306;12624
29102;3465
27704;4369
37604;184293
37601;24900
37602;8227
37902;840
20700;44087
20301;26755
20302;112484
19700;2227687
19600;2326633
19500;328322
34901;270023
34902;4091
30701;35685
34801;11755
30901;18646
30702;1832
30601;247217
30604;12941
30801;30759
30602;19193
34802;74872
34803;2656
30603;2900
34804;1308
18600;376448
18201;47745
19400;4628363
17900;83968
17700;351965
16500;183696
18100;110375
17800;38616
18400;44443
19300;242248
18000;818864
18500;26828
18300;58518
500;355698
1100;124897
602;12472
900;703702
601;19245
1001;24239
2100;34438
2600;33172
1500;124556
1203;139599
1002;30264
2000;393461
1900;153774
1701;662007
800;98916
1400;171578
401;192853
1800;50068
1600;67350
1202;15594
700;109870
1702;13845
26404;3036
26803;14306
26301;7106
26410;13771
26304;29905
26403;1790
26201;60265
26802;4641
26412;16582
26302;2457
26203;2925
26202;604
26804;945
26204;818
26305;4071
26303;3397
13400;75981
16000;75455
15200;989997
15800;31258
15600;65005
15000;189688
12501;351383
12502;27607
16400;220069
13502;21768
15900;721471
15100;103841
15400;42519
13300;71813
15700;50430
15500;33063
15300;62367
30200;35952
30502;32170
33901;18850
33801;22599
33902;46090
33802;14740
33803;461095
33700;37697
33601;44478
30402;356556
30501;10190
33602;12868
30401;24439
30403;8107
33603;1449
39201;11008
38901;268834
38801;758820
38700;56222
36902;40613
39203;56914
39204;1186
39205;1875
36502;1917
38802;20375
36800;77597
36503;1540
38902;19202
39100;112289
39202;2115
19200;417338
16300;1022392
16200;120200
19100;363225
18900;64840
18202;9516
19000;242174
16100;84436
18800;281043
18700;62698
8300;292870
8201;11042
8202;228883
8100;262305
1301;10782
8000;45520
1302;194150
27006;12855
27007;7075
26501;12285
26605;20294
27009;3488
27601;65932
26604;2649
27008;6391
26504;14341
26503;122888
26602;5336
27602;1350
27004;3388
27603;1320
27010;2081
