CZ;L_manuf
11101;8101
11001;18730
10301;395
10801;10362
10700;33659
9600;24634
9500;7144
10302;5907
6200;7900
6100;20048
11002;1345
10600;5737
6000;25045
9800;5322
10802;231
10501;1784
11102;629
9701;4624
34101;1878
34114;2240
34102;2520
34104;88
34107;63
34115;321
34109;226
34111;72
34108;2229
34110;343
34103;131
35100;23035
35401;6489
35001;113237
35002;179
37901;25231
35500;265
38100;3823
4301;1244
4101;334
25101;498
30300;24788
25103;3352
4102;1485
34001;4328
25900;3635
25104;286
4001;827
30100;12658
5300;267
4103;4568
4200;13260
30000;4817
25105;2917
4302;582
33500;7554
25800;3735
37800;155245
37400;51331
37300;5939
37200;44082
36700;1907
37903;214
37100;12647
37700;23299
38300;589784
37000;27806
37500;98903
37603;15
38000;105781
38200;18465
36600;2960
36501;1190
28900;65996
35300;1555
28701;79
34805;78
35201;2847
28702;624
28401;9973
28703;134
35202;123
28800;26109
28301;20
36401;103
35402;122
28502;2462
20901;149785
19901;14860
19800;15174
11304;32012
7900;3332
10000;1465
7300;15345
7000;24273
6900;13405
7800;6305
7600;22966
7200;8108
7700;1068
10900;4751
7500;9465
9900;1701
6800;15285
7100;19293
6700;58596
7400;38093
9001;1363
8601;2075
9002;802
9400;24556
9301;3539
6600;30528
8501;588
8503;5651
8900;3880
8702;1052
9200;1720
6401;22563
8800;15103
9100;96931
8401;7447
8502;137
10101;338
10200;1844
9302;2565
8701;1805
6501;510
8602;381
10102;1458
9003;1399
9702;381
1201;103
1204;96
8402;64
35600;1448
34701;9144
34702;268
34703;755
35801;21858
36301;5071
38601;18670
35701;3012
34501;412
35702;807
38401;1911
36200;15457
38402;2651
35802;628
36303;181
35803;7
25000;2952
24900;8574
24400;34105
23900;15127
24801;2255
23500;10941
24802;2361
23301;1812
23302;3787
25500;1134
24300;328499
25601;597
23700;395
23600;3044
23801;13856
24200;1702
23200;8867
23400;3425
25401;2472
24701;82698
14801;143
25602;78
14500;12281
14100;40917
14300;19228
14000;7077
14200;56321
13900;10436
13101;50262
14400;8071
14600;11481
12800;2067
14700;21701
13700;96318
12600;3630
13800;12597
14900;28604
13102;2074
14802;31
13600;33419
27503;530
22200;14611
22001;11710
27501;19418
27401;3471
27504;3040
22100;7866
21801;2858
21802;2338
27301;580
23802;1831
22300;4150
22002;624
27402;1799
21900;1855
26106;92
27201;3483
28201;601
28001;9271
28202;28260
29401;296
29501;487
29004;185
29901;11154
29201;636
29301;46838
29002;31
29303;2051
29204;6091
29006;137
31001;88
29003;5950
29302;4588
29502;62209
29403;2839
29402;2176
29202;1113
29103;249
29203;230
29005;1765
29104;2174
31003;13
31004;96
4601;1702
12901;15126
5402;2695
12701;90109
17100;3587
12903;1678
13000;5102
13200;4309
25200;2884
25402;46
5900;9006
12702;82
25300;2445
4401;1901
5401;8859
4602;4158
4402;2791
13103;9101
12902;469
17000;166
3800;10515
3500;19416
3400;6975
3600;805
4002;4169
3700;8459
3300;15535
3201;7
4003;991
3901;4289
4004;256
20100;17655
20003;1111
20001;4255
20002;290
20600;51668
17501;3057
11302;40664
19902;2026
17400;12134
20500;172276
20902;3715
20401;53500
20403;48
20800;22764
12401;1759
12200;134841
12301;5440
11900;20552
21002;331
12100;33847
12302;790
11403;56
11800;3413
11700;13202
12402;560
11401;530
11402;3195
11600;264354
21003;123
11500;15236
12001;4835
12002;926
13501;40805
21600;2343
21501;166538
26701;1335
21400;15690
21301;6423
26002;4559
27101;1565
26801;7615
27202;1446
21701;5008
26901;4354
27302;488
21702;1485
22900;9418
21502;445
26004;4
27102;510
21201;4372
26703;135
26902;1540
26704;928
21202;552
21302;5063
26001;189
22800;13146
3202;196
5100;2300
3101;1022
3001;306
5000;19640
10502;675
4702;392
3003;13197
5202;25735
2900;2299
4701;725
2700;16051
2800;6493
10400;595
3102;755
4800;158
5201;3221
3203;681
3002;6
24702;135
29800;4545
29902;194
29504;1318
25701;1962
29601;4625
29503;8994
25702;335
29602;150
29700;12662
24500;668
25102;1950
24600;2834
26102;20
26101;221
26107;53
26105;1274
34401;14
34203;820
34204;145
34503;2168
34402;2901
34201;25
34403;367
34502;118
34504;2396
34404;395
34308;3444
27901;1459
28608;3185
27802;2165
28002;202
28609;3027
27902;143
28101;12428
27903;3318
28306;67
27801;1159
28102;60
28302;3
27701;230
27704;6
29102;478
37601;169
37604;19008
20700;5054
20301;1038
20302;7793
19700;155578
19600;156893
19500;12137
34901;11708
30701;860
34801;39
30901;188
30601;14121
30604;24
30801;122
30602;123
34802;759
18600;19972
18201;3226
19400;130885
17900;5716
17700;26525
16500;35837
18100;5111
17800;2202
18400;2039
19300;16010
18000;102725
