country,NAICS4,d_import
Australia,1111,2056836.637
Australia,1112,-4479415.538000001
Australia,1113,5061859.993999999
Australia,1114,-710933.192
Australia,1119,-5027407.322999999
Australia,1129,-58063.907
Australia,1132,12451711.890999999
Australia,1133,-158508.527
Australia,1141,8786013.059
Australia,2111,-1374502.01
Australia,2121,-845990.5360000001
Australia,2122,-610015.2170000002
Australia,2123,3339023.210999999
Australia,3111,9079764.099
Australia,3112,62099333.522000015
Australia,3113,41375164.27599999
Australia,3114,102618109.32700002
Australia,3115,24001074.887999997
Australia,3116,6316521.245
Australia,3117,23472637.481000006
Australia,3118,-22012611.592
Australia,3119,65881964.068999976
Australia,3121,95812975.06300001
Australia,3122,-10729093.651999999
Australia,3131,-471483.0390000008
Australia,3132,227904114.64100003
Australia,3133,7762376.767999999
Australia,3141,458587823.3510001
Australia,3149,345760018.571
Australia,3151,214428907.825
Australia,3152,86681710.09899998
Australia,3159,-206632669.297
Australia,3161,-44630097.957
Australia,3162,-134913250.23600006
Australia,3169,-59221635.647000074
Australia,3211,-31007594.060000002
Australia,3212,41864896.453999996
Australia,3219,30177502.965000033
Australia,3221,-68894322.724
Australia,3222,398191822.54700005
Australia,3231,168626896.53699994
Australia,3241,2445680934.644
Australia,3251,181317614.013
Australia,3252,79790078.57800001
Australia,3253,325533603.10300004
Australia,3254,130068987.278
Australia,3255,3226771.060999997
Australia,3256,101254309.63800001
Australia,3259,-191469211.84000003
Australia,3261,688590752.5440001
Australia,3262,24272370.20599985
Australia,3271,133989574.745
Australia,3272,89557875.282
Australia,3273,88060149.319
Australia,3274,-190682.25399999996
Australia,3279,174960779.274
Australia,3311,178068582.25300002
Australia,3312,385019826.82500005
Australia,3313,126255344.56300002
Australia,3314,35773137.978000015
Australia,3315,239190659.30800003
Australia,3321,191020517.797
Australia,3322,244166197.556
Australia,3323,-108395451.5539999
Australia,3324,-24496951.74000001
Australia,3325,103149736.745
Australia,3326,67321939.39499998
Australia,3327,138763794.20700002
Australia,3329,688239738.6730001
Australia,3331,542269770.4550002
Australia,3332,396481797.86399996
Australia,3333,-51580198.075999975
Australia,3334,209637519.92299998
Australia,3335,61852132.572
Australia,3336,936141973.421
Australia,3339,950103239.0570002
Australia,3341,-336657386.8140001
Australia,3342,1455625436.2110004
Australia,3343,97974013.85699987
Australia,3344,1331374563.6560001
Australia,3345,78389931.06500006
Australia,3346,81952394.24800001
Australia,3351,184985005.42400002
Australia,3352,413514814.59800005
Australia,3353,978740928.185
Australia,3359,1087260454.633
Australia,3361,243377193.45
Australia,3362,310437120.172
Australia,3363,569598485.8440001
Australia,3364,263847407.04299998
Australia,3365,-457205967.76600003
Australia,3366,13176452.045000017
Australia,3369,472627389.31299996
Australia,3371,581176346.662
Australia,3372,166754013.16700006
Australia,3379,246719847.43999994
Australia,3391,422595601.105
Australia,3399,561839304.3899999
Australia,5112,-8299070.0
Australia,9100,-143452.85199999996
Australia,9200,-120350657.0
Australia,9300,359424867.25600004
Australia,9900,-102733022.275
Finland,1111,1194385.2829999998
Finland,1112,141656.80599999998
Finland,1113,746078.3470000001
Finland,1114,-62257.61
Finland,1119,-1572593.927
Finland,1124,104371.742
Finland,1129,-3895.901
Finland,1132,103005.044
Finland,1133,5502.518
Finland,1141,18780.636
Finland,2111,-47797.899000000005
Finland,2122,-6142039.752
Finland,2123,-552977.906
Finland,3111,7784244.672
Finland,3112,4070273.0199999996
Finland,3113,813372.8259999999
Finland,3114,-16409.16599999927
Finland,3115,861374.7209999999
Finland,3116,430760.579
Finland,3117,88345.451
Finland,3118,923775.9839999999
Finland,3119,1206098.7859999994
Finland,3121,2053463.597
Finland,3122,134.34
Finland,3131,-565214.014
Finland,3132,22573252.519
Finland,3133,192288.4299999997
Finland,3141,24645143.14
Finland,3149,39014828.06299999
Finland,3151,26505731.260000005
Finland,3152,-104005451.37399995
Finland,3159,-131883631.986
Finland,3161,-7497952.836
Finland,3162,-27464496.661
Finland,3169,-13037056.039000005
Finland,3211,-5396957.769
Finland,3212,-6102237.09
Finland,3219,-3669190.403999999
Finland,3221,-1510313.716
Finland,3222,15891822.891999997
Finland,3231,5984669.2250000015
Finland,3241,-1368756.443
Finland,3251,10301017.269000001
Finland,3252,17903992.564999998
Finland,3253,213828.804
Finland,3254,7704679.941
Finland,3255,-503013.483
Finland,3256,15408683.533
Finland,3259,-8953685.063000001
Finland,3261,31485873.24000001
Finland,3262,33222124.848000005
Finland,3271,35061183.213
Finland,3272,-12536489.026
Finland,3273,-612355.418
Finland,3274,-84943.20300000001
Finland,3279,12106634.761
Finland,3311,-9411425.092
Finland,3312,31055969.551
Finland,3313,7924053.322999999
Finland,3314,5732596.955
Finland,3315,19572109.137
Finland,3321,11442777.761999998
Finland,3322,23681457.882
Finland,3323,33840757.048999995
Finland,3324,8250769.870000001
Finland,3325,4167016.272
Finland,3326,-279575.08199999854
Finland,3327,10973876.004
Finland,3329,80811879.60999998
Finland,3331,13807858.365999997
Finland,3332,40425844.64
Finland,3333,5545157.498999998
Finland,3334,15192692.582999997
Finland,3335,12019997.498999998
Finland,3336,7145854.813000001
Finland,3339,23921503.250999987
Finland,3341,-137861738.65999997
Finland,3342,-518884546.354
Finland,3343,75674748.03799999
Finland,3344,192165550.00800002
Finland,3345,40220034.315
Finland,3346,2205237.0889999997
Finland,3351,17794548.551
Finland,3352,33886203.08899999
Finland,3353,77335750.776
Finland,3359,123069212.776
Finland,3361,47035113.982999995
Finland,3362,30853251.132
Finland,3363,70802158.45699999
Finland,3364,10004349.457
Finland,3365,4608981.755
Finland,3366,-217197743.786
Finland,3369,44264946.348
Finland,3371,33917324.320999995
Finland,3372,19015666.773000002
Finland,3379,8740810.501000002
Finland,3391,26321236.636999995
Finland,3399,-8038073.800000012
Finland,5112,-2513585.0
Finland,9100,-644755.1889999998
Finland,9200,-22645953.0
Finland,9300,59591154.085
Finland,9900,-9388611.432
Japan,1111,-10093215.628999993
Japan,1112,55448607.435
Japan,1113,2510819.0080000013
Japan,1114,-1227686.034
Japan,1119,-89319600.986
Japan,1124,-9101902.642
Japan,1129,-15920356.402
Japan,1132,-33288715.537
Japan,1133,-2831913.088
Japan,1141,-338840924.20300007
Japan,2111,-113073378.345
Japan,2121,-345687706.991
Japan,2122,100328212.47299999
Japan,2123,-149023431.462
Japan,3111,-51138746.279
Japan,3112,-86608585.78400004
Japan,3113,-30767204.14899999
Japan,3114,28470469.21000004
Japan,3115,-89572929.74399999
Japan,3116,-463912861.263
Japan,3117,-371140477.00399995
Japan,3118,-61971667.655
Japan,3119,-323517053.521
Japan,3121,88958302.86500001
Japan,3122,4829871.184
Japan,3131,-39135678.40899998
Japan,3132,308706703.2909999
Japan,3133,-185453418.448
Japan,3141,205285748.9920001
Japan,3149,665100298.4679999
Japan,3151,159578550.72200012
Japan,3152,-8864446760.933
Japan,3159,-2032958034.355
Japan,3161,-689194906.133
Japan,3162,-1247998127.197
Japan,3169,-1359383637.9659996
Japan,3211,-611766130.0139999
Japan,3212,-413153144.706
Japan,3219,8048563.88499999
Japan,3221,-308243702.723
Japan,3222,-683843587.441
Japan,3231,-56064796.61899996
Japan,3241,196325091.124
Japan,3251,346549127.26500034
Japan,3252,147240631.74300003
Japan,3253,105917722.676
Japan,3254,770066158.8200002
Japan,3255,7303367.843999982
Japan,3256,207236349.658
Japan,3259,-806202538.1629999
Japan,3261,-5992805.661000252
Japan,3262,-54785137.907000065
Japan,3271,-180736787.32200003
Japan,3272,-178576774.54200006
Japan,3273,-34898598.109
Japan,3274,-509561.28099999763
Japan,3279,-397432570.8649998
Japan,3311,345575923.6789999
Japan,3312,884677876.566
Japan,3313,23665880.132999897
Japan,3314,-292844486.4879999
Japan,3315,271288315.388
Japan,3321,263271130.81200004
Japan,3322,458778773.306
Japan,3323,693766637.4489999
Japan,3324,175429826.68299997
Japan,3325,-627768628.321
Japan,3326,140706898.76699996
Japan,3327,312268168.434
Japan,3329,381063009.816
Japan,3331,1228224278.0550003
Japan,3332,2806257548.038
Japan,3333,-484190563.98200035
Japan,3334,-487573911.03600025
Japan,3335,458508487.987
Japan,3336,75302142.04900002
Japan,3339,602187907.3220005
Japan,3341,-2570880864.7369995
Japan,3342,-1010808501.829998
Japan,3343,-2126618444.1780005
Japan,3344,-2339956415.9589996
Japan,3345,-1276629879.2539997
Japan,3346,212161523.5
Japan,3351,231447681.4920001
Japan,3352,-80989897.24199963
Japan,3353,2339426441.363
Japan,3359,2569839796.4659996
Japan,3361,28233548.059
Japan,3362,259201620.20099998
Japan,3363,661107395.0559998
Japan,3364,58994265.66999999
Japan,3365,529931.6180000007
Japan,3366,59984203.77700001
Japan,3369,670984171.1359999
Japan,3371,142783140.10699987
Japan,3372,173999029.954
Japan,3379,130647908.69999993
Japan,3391,-796675609.3670001
Japan,3399,-2432834053.8780003
Japan,5112,-24866207.0
Japan,9100,145175471.977
Japan,9200,-57873616.0
Japan,9300,167058089.976
Japan,9900,-441835343.727
New Zealand,1111,-442581.9920000001
New Zealand,1112,782620.5719999999
New Zealand,1113,79629.38699999964
New Zealand,1114,50814.956
New Zealand,1119,10912200.955
New Zealand,1124,-24182.322999999975
New Zealand,1129,15884.477000000014
New Zealand,1132,2810546.525
New Zealand,1133,-39874.263000000006
New Zealand,1141,9906947.933
New Zealand,2111,-21308.664000000004
New Zealand,2121,-74982.408
New Zealand,2122,-171945.16500000004
New Zealand,2123,-10733876.244
New Zealand,3111,2954814.464
New Zealand,3112,28130785.591000006
New Zealand,3113,25055609.162
New Zealand,3114,51387270.256000005
New Zealand,3115,16940951.759
New Zealand,3116,1005272.5820000002
New Zealand,3117,9033808.053
New Zealand,3118,3005980.151999999
New Zealand,3119,38385740.02200001
New Zealand,3121,26638606.613
New Zealand,3122,-530495.643
New Zealand,3131,-5677030.234000001
New Zealand,3132,33919283.799
New Zealand,3133,-4486488.182999998
New Zealand,3141,81725572.037
New Zealand,3149,63581138.66
New Zealand,3151,38736622.254
New Zealand,3152,-71560758.26300001
New Zealand,3159,-32093862.243
New Zealand,3161,-4152600.9740000004
New Zealand,3162,-31003517.41199997
New Zealand,3169,30744392.04100001
New Zealand,3211,3249789.828999999
New Zealand,3212,16081346.118
New Zealand,3219,31500958.501999997
New Zealand,3221,-8328139.978
New Zealand,3222,78695817.74399999
New Zealand,3231,33891308.973000005
New Zealand,3241,1676204.091
New Zealand,3251,14200855.916000009
New Zealand,3252,50779772.54499999
New Zealand,3253,103685023.69600001
New Zealand,3254,43306078.333000004
New Zealand,3255,3577253.052
New Zealand,3256,20239265.470999993
New Zealand,3259,-23112491.668000005
New Zealand,3261,211975902.118
New Zealand,3262,51479304.32499999
New Zealand,3271,19534532.995000005
New Zealand,3272,37150972.465
New Zealand,3273,7838894.000999999
New Zealand,3274,-243319.65000000002
New Zealand,3279,20619862.723000005
New Zealand,3311,67926200.93999998
New Zealand,3312,58294303.477
New Zealand,3313,19452999.978
New Zealand,3314,10135980.362000003
New Zealand,3315,31112419.983999997
New Zealand,3321,32636910.364
New Zealand,3322,49521115.966
New Zealand,3323,91481386.63
New Zealand,3324,21593986.407000005
New Zealand,3325,31233252.409999996
New Zealand,3326,18116890.973
New Zealand,3327,22175280.582999997
New Zealand,3329,156222182.70599997
New Zealand,3331,108696011.894
New Zealand,3332,76438132.00799999
New Zealand,3333,-1297792.8390000015
New Zealand,3334,35635583.636999995
New Zealand,3335,16252980.424999997
New Zealand,3336,24576568.824999996
New Zealand,3339,184724496.04600003
New Zealand,3341,-48621256.103000045
