country,NAICS4,d_import
Australia,1111,9112023.0
Australia,1112,4262147.0
Australia,1113,9120992.0
Australia,1114,1092369.0
Australia,1119,6865901.0
Australia,1129,2377.0
Australia,1132,10498987.0
Australia,1133,128414.0
Australia,1141,51023991.0
Australia,2111,22717295.0
Australia,2121,1796561.0
Australia,2122,57806878.0
Australia,2123,8825969.0
Australia,3111,7072249.0
Australia,3112,101207266.0
Australia,3113,122560102.0
Australia,3114,160071156.0
Australia,3115,45583130.0
Australia,3116,823690.0
Australia,3117,57308289.0
Australia,3118,68089574.0
Australia,3119,125759092.0
Australia,3121,12284983.0
Australia,3122,12955063.0
Australia,3131,-2257238.0
Australia,3132,187125221.0
Australia,3133,49555989.0
Australia,3141,650239268.0
Australia,3149,459197342.0
Australia,3151,115123777.0
Australia,3152,3085704322.0
Australia,3159,371568799.0
Australia,3161,45216037.0
Australia,3162,682891939.0
Australia,3169,885657784.0
Australia,3211,108195419.0
Australia,3212,159749434.0
Australia,3219,404276618.0
Australia,3221,169400988.0
Australia,3222,419333571.0
Australia,3231,411492057.0
Australia,3241,115397273.0
Australia,3251,598536030.0
Australia,3252,108510076.0
Australia,3253,322060782.0
Australia,3254,317777033.0
Australia,3255,30941100.0
Australia,3256,174377577.0
Australia,3259,602073828.0
Australia,3261,1324614939.0
Australia,3262,938998268.0
Australia,3271,303850765.0
Australia,3272,287055685.0
Australia,3273,37953463.0
Australia,3274,1336707.0
Australia,3279,164983152.0
Australia,3311,442007939.0
Australia,3312,55454742.0
Australia,3313,298479988.0
Australia,3314,141309865.0
Australia,3315,59655116.0
Australia,3321,6688318.0
Australia,3322,227710643.0
Australia,3323,739719970.0
Australia,3324,181121917.0
Australia,3325,289730279.0
Australia,3326,250100899.0
Australia,3327,151628132.0
Australia,3329,1050569207.0
Australia,3331,1242391952.0
Australia,3332,378188665.0
Australia,3333,641218380.0
Australia,3334,578594819.0
Australia,3335,135676456.0
Australia,3336,183967786.0
Australia,3339,1957329343.0
Australia,3341,5499097181.0
Australia,3342,4907617266.0
Australia,3343,1584468317.0
Australia,3344,3153091678.0
Australia,3345,568610309.0
Australia,3346,9565246.0
Australia,3351,531348077.0
Australia,3352,1090497818.0
Australia,3353,423150594.0
Australia,3359,873047562.0
Australia,3361,179267791.0
Australia,3362,222996685.0
Australia,3363,763467441.0
Australia,3364,18613076.0
Australia,3365,410751474.0
Australia,3366,194027446.0
Australia,3369,87517635.0
Australia,3371,1354445773.0
Australia,3372,411654950.0
Australia,3379,356317974.0
Australia,3391,422699621.0
Australia,3399,2807119648.0
Australia,5112,18240098.0
Australia,9100,6359532.0
Australia,9200,89331752.0
Australia,9900,84300121.0
Finland,1111,279227.0
Finland,1112,-965.0
Finland,1113,274559.0
Finland,1114,-965.0
Finland,1119,-1104043.0
Finland,1129,-6838.0
Finland,1132,-13691.0
Finland,1133,-4797.0
Finland,1141,351046.0
Finland,2111,43777.0
Finland,2122,-321039.0
Finland,2123,1236722.0
Finland,3111,873015.0
Finland,3112,705881.0
Finland,3113,-199069.0
Finland,3114,1170272.0
Finland,3115,177771.0
Finland,3116,71965.0
Finland,3117,6197.0
Finland,3118,30632.0
Finland,3119,1974377.0
Finland,3121,66013.0
Finland,3131,91958.0
Finland,3132,12777330.0
Finland,3133,1613583.0
Finland,3141,22218703.0
Finland,3149,27647514.0
Finland,3151,6153627.0
Finland,3152,230144680.0
Finland,3159,163132999.0
Finland,3161,4318310.0
Finland,3162,23865763.0
Finland,3169,47313951.0
Finland,3211,2415409.0
Finland,3212,7107899.0
Finland,3219,15279799.0
Finland,3221,5191433.0
Finland,3222,8601262.0
Finland,3231,16715027.0
Finland,3241,767631.0
Finland,3251,23934056.0
Finland,3252,5898740.0
Finland,3253,660300.0
Finland,3254,10717042.0
Finland,3255,332270.0
Finland,3256,4900802.0
Finland,3259,-1591173.0
Finland,3261,48639492.0
Finland,3262,44451028.0
Finland,3271,20702991.0
Finland,3272,20678559.0
Finland,3273,703586.0
Finland,3274,52850.0
Finland,3279,13878880.0
Finland,3311,43878153.0
Finland,3312,10670899.0
Finland,3313,18563705.0
Finland,3314,4236654.0
Finland,3315,3532884.0
Finland,3321,23349.0
Finland,3322,18797962.0
Finland,3323,20513656.0
Finland,3324,6089791.0
Finland,3325,25264098.0
Finland,3326,19986824.0
Finland,3327,9998166.0
Finland,3329,93502928.0
Finland,3331,106391150.0
Finland,3332,46717972.0
Finland,3333,3696659.0
Finland,3334,27114884.0
Finland,3335,24229558.0
Finland,3336,23215347.0
Finland,3339,159704818.0
Finland,3341,34044457.0
Finland,3342,724647703.0
Finland,3343,-51939000.0
Finland,3344,9666588.0
Finland,3345,-25446950.0
Finland,3346,595336.0
Finland,3351,49651727.0
Finland,3352,78864409.0
Finland,3353,76243738.0
Finland,3359,69913619.0
Finland,3361,7218166.0
Finland,3362,18736262.0
Finland,3363,53118923.0
Finland,3364,6150717.0
Finland,3365,5408.0
Finland,3366,114672348.0
Finland,3369,9804615.0
Finland,3371,41799960.0
Finland,3372,15437451.0
Finland,3379,13741408.0
Finland,3391,30773139.0
Finland,3399,113483976.0
Finland,5112,72169.0
Finland,9100,25398.0
Finland,9200,5976378.0
Finland,9900,235527.0
Japan,1111,-44836768.0
Japan,1112,11404565.0
Japan,1113,41423771.0
Japan,1114,4277553.0
Japan,1119,232300229.0
Japan,1124,-54057183.0
Japan,1129,-15269182.0
Japan,1132,91490183.0
Japan,1133,-11637454.0
Japan,1141,346197376.0
Japan,2111,-611735733.0
Japan,2121,517632953.0
Japan,2122,9724694.0
Japan,2123,233728827.0
Japan,3111,150490481.0
Japan,3112,319867940.0
Japan,3113,176034928.0
Japan,3114,1165709132.0
Japan,3115,150337926.0
Japan,3116,1106825462.0
Japan,3117,751878327.0
Japan,3118,163001571.0
Japan,3119,834611700.0
