,NAICS4,d_import
0,1111,30633464.0
1,1112,63910795.16666667
2,1113,19661793.0
3,1114,4982656.666666667
4,1119,-19455355.83333333
5,1124,-5942127.0
6,1129,64884.0
7,1132,66269427.5
8,1133,2211867.0
9,1141,239908223.0
10,2111,-15947906.0
11,2121,5048131.0
12,2122,10743550.0
13,2123,100354341.5
14,3111,367490242.5
15,3112,63870435.0
16,3113,141015143.2
17,3114,1253814173.5333333
18,3115,21860118.53333333
19,3116,8508095.0
20,3117,343707779.1666667
21,3118,58135372.0
22,3119,209381378.86666667
23,3121,14685113.833333334
24,3122,7658909.0
25,3131,61154616.0
26,3132,1479999251.75
27,3133,277015775.5
28,3141,4680355971.0
29,3149,2449697486.9166665
30,3151,940541136.8333334
31,3152,22329685720.5
32,3159,3309446436.916667
33,3161,435999571.1666667
34,3162,8414781303.0
35,3169,4242875239.7
36,3211,177302077.26666668
37,3212,1394629817.9333334
38,3219,729634536.7666668
39,3221,267943530.0
40,3222,2681079520.333333
41,3231,2014457105.1999998
42,3241,147903996.5
43,3251,6383862426.833334
44,3252,1180369695.5
45,3253,388944220.5
46,3254,2248596572.2
47,3255,107187952.5
48,3256,929665249.5
49,3259,1262298210.8333333
50,3261,6469150615.366667
51,3262,3920036334.033334
52,3271,1829986759.3333335
53,3272,1960332252.4999998
54,3273,-66753286.0
55,3274,-3122295.0
56,3279,1203827651.1666665
57,3311,1569115900.0
58,3312,428485573.0
59,3313,755098373.6666667
60,3314,585878155.3333334
61,3315,273493553.5
62,3321,80270957.0
63,3322,2064509421.0
64,3323,875490753.5
65,3324,889900796.4999999
66,3325,1672731465.8333333
67,3326,665750776.5
68,3327,896749068.5
69,3329,6677591622.333333
70,3331,4361692692.714285
71,3332,1822458350.947619
72,3333,1131785188.0476189
73,3334,2812968305.1309524
74,3335,850530120.0
75,3336,2607063755.0833335
76,3339,7217307755.114285
77,3341,62076307751.0
78,3342,36159530670.33333
79,3343,10482209633.333332
80,3344,18920096456.733334
81,3345,4301255610.9
82,3346,-54465535.0
83,3351,3969997116.499999
84,3352,8748945410.464287
85,3353,3563489094.166667
86,3359,4525799655.030952
87,3361,61485900.0
88,3362,976104630.6666666
89,3363,5797441845.75
90,3364,628316932.5
91,3365,183644399.5
92,3366,59078051.5
93,3369,667523120.0
94,3371,9646080380.5
95,3372,2047204278.1666665
96,3379,697615492.2666667
97,3391,3692675436.8333335
98,3399,20115909629.13333
99,5112,
100,9100,138887377.33333334
101,9200,289930622.5
102,9900,836072704.0
