CZ;L_non_manuf
11101;121110
11001;190296
10301;12559
10801;72901
10700;408837
9800;33410
9600;103189
6600;99012
10802;12163
9500;43853
10302;64369
6200;54525
11002;17489
11102;18690
6100;63566
10600;32533
6000;152585
10501;22861
9701;87444
34101;477
34114;2145
34102;126955
34112;4107
34104;550
34107;1649
34115;23994
34109;11732
34111;6989
34108;3606
34106;2327
34113;2401
34105;5526
34110;2690
34103;38345
35500;279311
35100;78728
35401;1189970
35001;10633
35002;5074554
38300;615236
37901;53888
38100;9436
4301;5845
4101;12221
25101;104773
30300;18890
25103;39094
4102;23117
4103;49602
34001;46255
25900;10059
25104;7822
4001;253181
4200;88542
30100;29246
5300;32112
30000;18132
25102;15614
25105;22734
4302;64486
33500;23380
25800;19072
34002;1834826
37800;716768
37400;80202
37300;9644
36901;277007
37200;34147
36700;13692
37903;133289
37100;162580
37700;31379
36501;140691
37000;869294
37500;5026
37603;894204
38000;185719
38200;50338
36600;1056537
28900;11960
34805;54720
35300;1036
28501;56059
28502;5174
28701;3856
28504;193411
28401;58186
35201;10233
35402;81382
28702;7094
28703;8100
35202;5844
28503;10290
28704;128454
28800;1478
28402;10586
28301;22349
36401;5700
28302;1290202
20901;127306
19901;257407
19800;88986
7900;457906
7600;56494
10000;175608
7300;1381560
7000;116820
9900;277816
6900;88280
7800;220770
7200;31432
7700;184666
10900;138464
7500;500256
7100;174553
6800;921444
6700;738067
7400;26511
9001;28455
8601;18713
10200;64766
9002;52176
9400;5338
9301;62481
8501;111929
8503;31781
8900;149063
8602;24172
8800;138121
8702;25882
8401;166986
9200;1755298
6401;8604
9100;9304
8502;49339
10101;18038
9302;20835
8701;7526
6501;18037
10102;6928
8402;20795
9003;14659
9702;12038
1201;13716
1204;43204
35600;296323
34701;20495
34702;56169
34703;164738
35801;3667
35803;83345
36301;3158
36403;196398
38601;42940
35701;2573
34501;9698
35702;25029
38401;3143
36302;31775
36200;15940
38402;13989
35802;16529
36303;44247
25000;69060
25601;95267
24900;171380
24400;22791
24801;184346
23900;125295
23500;99094
24802;25273
23301;30646
23302;38971
25500;3232773
24300;86476
23400;13981
14801;38768
23700;10691
25602;39900
23600;140854
23801;52174
24200;56564
23200;17471
14802;49749
25401;961105
24701;91005
14500;145230
14700;203146
14100;45491
14300;112075
14000;644372
14200;48113
13900;440154
13101;74243
14400;70823
14600;34898
12800;89659
13700;32303
12600;29206
13800;193266
