cz,NAICS4,year,emp
100,3118,2019,18
100,3121,2019,87
100,3149,2019,22
100,3211,2019,3
100,3219,2019,291
100,3222,2019,115
100,3231,2019,588
100,3261,2019,32
100,3273,2019,22
100,3323,2019,154
100,3327,2019,428
100,3363,2019,353
100,3371,2019,46
100,3391,2019,79
100,3399,2019,57
10000,3231,2019,100
10000,3273,2019,66
10000,3323,2019,13
10000,3327,2019,71
10000,3366,2019,693
10000,3399,2019,94
1001,3231,2019,19
1001,3327,2019,13
1001,3371,2019,69
1002,3132,2019,55
1002,3133,2019,1015
1002,3151,2019,104
1002,3152,2019,7
1002,3211,2019,141
1002,3212,2019,40
1002,3222,2019,186
1002,3261,2019,293
1002,3273,2019,24
1002,3327,2019,235
1002,3363,2019,82
1002,3371,2019,1050
10101,3252,2019,102
10101,3327,2019,11
10102,3211,2019,192
10102,3327,2019,57
10200,3118,2019,51
10200,3119,2019,585
10200,3222,2019,196
10200,3273,2019,111
10200,3323,2019,9
10200,3327,2019,29
10200,3371,2019,38
10200,3391,2019,11
10200,3399,2019,26
10301,3211,2019,119
10301,3399,2019,273
10302,3231,2019,51
10302,3262,2019,158
10302,3323,2019,675
10302,3327,2019,44
10302,3371,2019,36
10302,3391,2019,35
10302,3399,2019,160
10400,3231,2019,24
10400,3323,2019,379
10400,3391,2019,19
10400,3399,2019,60
10501,3211,2019,422
10501,3219,2019,148
10501,3273,2019,7
10501,3327,2019,198
10501,3353,2019,440
10501,3371,2019,11
10502,3159,2019,186
10502,3211,2019,243
10502,3342,2019,93
10600,3211,2019,114
10600,3219,2019,1477
10600,3327,2019,197
10600,3362,2019,418
10600,3371,2019,125
10700,3111,2019,37
10700,3118,2019,105
10700,3121,2019,115
10700,3141,2019,27
10700,3219,2019,168
10700,3231,2019,1443
10700,3241,2019,576
10700,3251,2019,139
10700,3255,2019,90
10700,3261,2019,1507
10700,3271,2019,559
10700,3273,2019,386
10700,3274,2019,551
10700,3279,2019,280
10700,3311,2019,1471
10700,3312,2019,317
10700,3315,2019,2204
10700,3321,2019,412
10700,3323,2019,1829
10700,3327,2019,1088
