CZ;naics;emp
11101;3231;20
11001;3116;24
11001;3118;20
11001;3119;30
11001;3121;32
11001;3141;12
11001;3219;350
11001;3222;191
11001;3231;171
11001;3261;100
11001;3273;130
11001;3279;53
11001;3313;193
11001;3323;130
11001;3327;85
11001;3329;76
11001;3339;284
11001;3364;974
11001;3366;154
11001;3371;702
11001;3391;117
11001;3399;80
10301;3211;122
10301;3399;273
10801;3211;154
10801;3219;39
10801;3327;16
10700;3116;651
10700;3323;150
10700;3327;102
10700;3371;15
11101;3212;438
9600;3116;208
9600;3149;68
9600;3219;179
9600;3259;27
9600;3261;514
9600;3315;1094
9600;3323;364
9600;3327;200
9600;3328;44
9600;3329;814
9600;3362;698
9600;3369;666
9600;3371;31
9600;3399;17
9600;3363;947
10700;3121;8
10700;3219;24
10700;3273;96
10700;3323;71
10700;3371;8
11001;3211;359
11001;3212;396
9500;3371;1675
10302;3116;1753
10302;3231;15
10302;3262;389
10302;3362;791
6200;3211;172
6200;3219;205
6200;3231;22
6200;3251;71
6200;3261;567
6200;3262;120
6200;3273;37
6200;3323;181
6200;3327;211
6200;3329;301
6200;3335;273
6200;3363;1663
6200;3371;15
6200;3399;30
10700;3111;37
10700;3116;565
10700;3212;191
10700;3222;573
10700;3231;38
10700;3273;74
10700;3279;16
10700;3323;519
10700;3327;126
10700;3329;23
10700;3363;1531
10700;3371;147
10302;3273;23
10302;3323;84
10801;3219;216
10801;3231;6
10801;3339;37
10801;3363;261
6100;3151;1244
6100;3169;21
6100;3231;31
6100;3261;595
6100;3321;415
6100;3323;1232
6100;3327;62
6100;3339;252
6100;3371;46
11101;3118;13
11101;3219;48
11101;3231;19
11101;3261;564
11101;3273;18
11101;3323;165
11101;3327;29
11101;3371;7
11002;3211;440
11002;3231;6
11002;3273;7
11002;3323;42
11002;3327;94
11002;3371;6
6100;3116;1493
6100;3231;16
6100;3261;653
6100;3323;297
6100;3327;168
6100;3335;108
6100;3363;687
6100;3371;10
10600;3219;64
6200;3219;642
6200;3323;453
6200;3371;176
10302;3323;578
10801;3211;357
10302;3211;208
10302;3323;39
10302;3149;74
10302;3231;41
10302;3261;87
10302;3262;775
10302;3273;26
10302;3279;11
10302;3323;694
10302;3327;53
10302;3371;50
10302;3391;54
10302;3399;162
6100;3149;226
6100;3211;31
6100;3219;172
6100;3261;51
6100;3273;26
6100;3323;75
6100;3327;161
6100;3372;469
10700;3116;189
10700;3118;383
10700;3119;1350
10700;3121;774
10700;3141;27
10700;3152;8
10700;3169;4
10700;3219;152
10700;3222;170
10700;3231;1238
10700;3241;576
10700;3251;165
10700;3254;99
10700;3255;90
10700;3259;18
10700;3261;1647
10700;3262;23
10700;3271;327
10700;3273;426
10700;3279;137
10700;3311;1471
