CZ;naics;emp
11101;1133;73
11101;2123;80
11101;2211;161
11101;2361;16
11101;2362;86
11101;2371;96
11101;2381;29
11101;2382;131
11101;2383;86
11101;2389;30
11101;4236;8
11101;4238;49
11101;4251;21
11101;4411;224
11101;4413;124
11101;4421;20
11101;4431;84
11101;4441;178
11101;4442;50
11101;4451;322
11101;4452;4
11101;4453;13
11101;4461;193
11101;4471;134
11101;4481;158
11101;4482;100
11101;4483;19
11101;4511;118
11101;4523;561
11101;4532;26
11101;4533;89
11101;4539;50
11101;4543;21
11101;4841;45
11101;4842;9
11101;4884;26
11101;5173;54
11101;5221;190
11101;5222;79
11101;5239;8
11101;5241;35
11101;5242;44
11101;5311;45
11101;5312;17
11101;5313;28
11101;5322;15
11101;5411;31
11101;5412;56
11101;5413;20
11101;5415;43
11101;5416;6
11101;5419;104
11101;5616;76
11101;5617;141
11101;6111;130
11101;6116;18
11101;6211;191
11101;6212;102
11101;6213;121
11101;6214;29
11101;6232;223
11101;6241;38
11101;6244;190
11101;7139;289
11101;7211;156
11101;7225;2275
11101;8111;102
11101;8114;7
11101;8121;58
11101;8123;35
11101;8129;6
11101;8131;518
11101;8133;16
11101;8134;12
11101;8139;37
11001;1131;2
11001;2123;33
11001;2131;7
11001;2211;199
11001;2213;84
11001;2361;632
11001;2362;366
11001;2371;154
11001;2372;14
11001;2373;144
11001;2379;53
11001;2381;773
11001;2382;1058
11001;2383;397
11001;2389;451
11001;4231;158
11001;4232;72
11001;4233;403
11001;4234;104
11001;4236;38
11001;4237;393
11001;4238;440
11001;4239;128
11001;4241;126
11001;4242;23
11001;4243;61
11001;4244;251
11001;4246;25
11001;4247;18
11001;4249;153
11001;4251;84
11001;4411;943
11001;4412;291
11001;4413;451
11001;4421;199
11001;4422;323
11001;4431;133
11001;4441;1187
11001;4442;150
11001;4451;1587
11001;4452;148
11001;4453;103
11001;4461;826
11001;4471;1198
11001;4481;1805
11001;4482;269
11001;4483;79
11001;4511;528
11001;4512;89
11001;4522;287
11001;4523;2390
11001;4531;29
11001;4532;196
11001;4533;138
11001;4539;148
11001;4541;28
11001;4543;28
11001;4832;4
11001;4841;365
11001;4842;223
11001;4872;44
11001;4881;56
11001;4883;33
11001;4884;70
11001;4885;108
11001;4921;122
11001;4922;26
11001;4931;129
11001;5111;40
11001;5112;10
11001;5121;262
11001;5151;19
11001;5173;392
11001;5182;19
11001;5191;25
11001;5221;764
11001;5222;282
11001;5223;37
11001;5231;45
11001;5239;100
11001;5241;109
11001;5242;363
11001;5311;295
11001;5312;945
11001;5313;469
11001;5321;37
11001;5322;225
11001;5324;35
11001;5331;4
11001;5411;461
11001;5412;475
11001;5413;427
11001;5414;55
11001;5415;119
11001;5416;257
11001;5417;2
11001;5418;67
11001;5419;322
11001;5511;559
11001;5611;228
11001;5612;40
11001;5613;1100
11001;5614;186
11001;5615;23
11001;5616;768
11001;5617;2186
11001;5621;38
11001;5629;27
11001;6111;302
11001;6113;1126
11001;6115;36
11001;6116;118
11001;6117;8
11001;6211;1419
11001;6212;658
11001;6213;423
11001;6214;344
11001;6215;135
11001;6216;454
11001;6219;542
11001;6221;1972
11001;6231;686
11001;6232;165
11001;6233;800
11001;6239;32
11001;6241;658
11001;6242;49
11001;6244;477
11001;7111;5
11001;7113;17
11001;7115;8
11001;7121;72
11001;7131;545
11001;7139;988
11001;7211;2370
11001;7212;81
11001;7223;121
11001;7224;168
11001;7225;10841
11001;8111;408
11001;8112;19
11001;8113;84
11001;8114;103
11001;8121;293
11001;8122;52
11001;8123;114
11001;8129;227
11001;8131;1677
11001;8132;9
11001;8133;65
11001;8134;85
11001;8139;166
10301;1133;93
