"zone","L_r0_filt","L_r1_filt","delta_lnL","IPW","IPW_OC"
"Alsace",216400,183200,-0.166550094732296,1.82662793948635,6.78957270861199
"Aquitaine",170600,185200,0.0821146871545011,0.951722166746918,3.53754955228759
"Auvergne",117500,107100,-0.0926753561305098,1.54357498507575,5.73746539501279
"Basse-Normandie",97300,107900,0.10340588307213,1.30216110194964,4.84013043318473
"Bourgogne",141800,131000,-0.0792202908968758,1.46000752121033,5.4268452847411
"Bretagne",231700,182700,-0.23759796805437,1.28222694816119,4.76603522002958
"Centre — Val de Loire",246000,186400,-0.277436633680873,1.62810805611817,6.05167466539445
"Champagne-Ardenne",97600,92300,-0.0558333519102412,1.31559286238153,4.89005626213193
"Franche-Comté",143000,117600,-0.19555559479538,2.04507744766582,7.6015491307848
"Haute-Normandie",187300,158100,-0.169483865234616,1.59990280212478,5.94683578791248
"Ile de France",696900,619600,-0.117567819901758,0.895463123096753,3.32843478998564
"Languedoc-Roussillon",80300,85100,0.058057414626612,0.692148063213396,2.57271308443568
"Limousin",52100,44900,-0.148727154011112,1.22347459236469,4.54765282104214
"Lorraine",241600,228600,-0.0553097146999502,1.65766586180618,6.16154097505037
"Midi-Pyrénées",2e+05,193500,-0.0330398540782006,1.22649075377877,4.55886388749913
"Nord-Pas de Calais",317000,265600,-0.176910356275002,1.44516480196272,5.37167492445771
"Pays de la Loire",331600,317200,-0.0443969335004475,1.58874627892569,5.90536701159624
"Picardie",173100,172600,-0.00289268353283489,1.58739131989354,5.90033063135311
"Poitou-Charentes",120800,133200,0.0977154726055751,1.24945283189345,4.64421388983418
"Provence-Alpes-Côte d’Azur",169600,169100,-0.00295246745326772,0.713002121176693,2.65022757972541
"Rhône-Alpes",528200,500100,-0.0546669214381748,1.48080062310229,5.50413320642523
