"zone","L_r0_filt","L_r1_filt","delta_lnL","IPW","IPW_OC"
"Alsace",805300,838400,0.040280434765279,0.353723482623373,-0.209800947562866
"Aquitaine",1299500,1378900,0.0593065047661501,0.182604171144921,-0.128179250889894
"Auvergne",533700,550200,0.0304479651505751,0.292853669465378,-0.210352579190722
"Basse-Normandie",575300,553900,-0.0379074788301903,0.258590316257026,-0.180824538659245
"Bourgogne",642400,632100,-0.0161635531542998,0.266285153208742,-0.186094601146661
"Bretagne",1288700,1331300,0.0325219501435257,0.243832889043606,-0.174764831160102
"Centre — Val de Loire",1009100,995400,-0.0136694570460296,0.284729329416931,-0.187073738617072
"Champagne-Ardenne",501300,471300,-0.0617098903397721,0.318390709672654,-0.216956376775972
"Corse",68100,118600,0.55477927340816,0.264202206522526,-0.152739744799329
"Franche-Comté",469900,451300,-0.0403875992758138,0.449961072872007,-0.279511033850638
"Haute-Normandie",720500,701400,-0.0268670777334989,0.339493242538465,-0.204880415783603
"Ile de France",5164000,5259500,0.0183244922127948,0.150288887671013,-0.0876748411485496
"Languedoc-Roussillon",915900,975500,0.0630429716542231,0.153617856644764,-0.109521880070789
"Limousin",276700,268300,-0.0308281293613017,0.240137638715345,-0.171467166995285
"Lorraine",912800,892600,-0.0223782463526963,0.286492990956993,-0.176562654971553
"Midi-Pyrénées",1206000,1235300,0.0240047572556374,0.223786914086911,-0.157741127688343
"Nord-Pas de Calais",1501000,1453800,-0.031950734582928,0.278289334552487,-0.16696077125297
"Pays de la Loire",1505600,1527600,0.0145063865202459,0.31054411998564,-0.202350828994908
"Picardie",748900,727100,-0.0295414435993102,0.284616358842996,-0.181620515929402
"Poitou-Charentes",706700,7e+05,-0.00952591265340352,0.301110959175746,-0.200371304458386
"Provence-Alpes-Côte d’Azur",1918600,1866800,-0.0273700183081864,0.164091699139032,-0.107320632846481
"Rhône-Alpes",2640400,2788600,0.0546092569463053,0.278326491677567,-0.176314194791136
