"cz","L_manuf_t0","L_manuf_t1","d_ln_L","IPW","period","sample"
"100",50390,16050,-1.14408389311648,4.69531476979642,"2012-2019","full"
"10000",3804,1465,-0.954197902214113,3.36095852906941,"2012-2019","full"
"1001",2057,323,-1.8513515664303,-2.27479579854097,"2012-2019","full"
"1002",13889,7750,-0.583404316568826,8.02072048516408,"2012-2019","full"
"10101",1505,338,-1.49350228169996,-1.02544292740724,"2012-2019","full"
"10102",4132,1458,-1.04169591767092,3.72396374662185,"2012-2019","full"
"10200",8537,1844,-1.53247253289377,0.838831356286455,"2012-2019","full"
"10301",5485,395,-2.63088660780821,3.55884399342941,"2012-2019","full"
"10302",9494,5907,-0.474521931804029,0.896829976245588,"2012-2019","full"
"10400",5963,595,-2.30476758357748,-23.2029838858989,"2012-2019","full"
"10501",5348,1784,-1.09786462508188,-1.1575956378522,"2012-2019","full"
"10502",4378,675,-1.86963458721028,-15.3698878697189,"2012-2019","full"
"10600",9057,5737,-0.456601513773077,3.14647490569205,"2012-2019","full"
"10700",41633,33659,-0.212612642558142,1.91825578120309,"2012-2019","full"
"10801",18694,10362,-0.590057348367797,4.4305040556561,"2012-2019","full"
"10802",4105,231,-2.87754331136474,0.802539494479497,"2012-2019","full"
"10900",7285,4751,-0.427462317442385,2.41575034835461,"2012-2019","full"
"1100",43081,39497,-0.0868573449907597,6.89816278789224,"2012-2019","full"
"11001",26165,18730,-0.334296123368174,1.86375407742013,"2012-2019","full"
"11002",2980,1345,-0.795529287463511,1.40797041056809,"2012-2019","full"
"11101",20674,8101,-0.936889361297938,4.10090461252866,"2012-2019","full"
"11102",5777,629,-2.21750853908082,-1.72012417907844,"2012-2019","full"
"11201",7111,3072,-0.839314065615955,7.86361898028952,"2012-2019","full"
"11202",212,18,-2.46621451677585,2.37779479025047,"2012-2019","full"
"11301",3249,925,-1.25630879815668,1.14777268045008,"2012-2019","full"
"11302",59490,40664,-0.380465051055213,0.477536021726591,"2012-2019","full"
"11303",1984,537,-1.30687219333595,0.816296978772738,"2012-2019","full"
"11304",52351,32012,-0.491860206826054,5.4712226453871,"2012-2019","full"
"11401",5096,530,-2.26333419070583,1.40328766213734,"2012-2019","full"
"11402",11693,3195,-1.29740328432868,2.91258202671947,"2012-2019","full"
"11403",958,56,-2.83949608723571,1.09556811937848,"2012-2019","full"
"11500",16964,15236,-0.107432402995988,3.71814641322075,"2012-2019","full"
"11600",218564,264354,0.190210236195997,4.21525419565021,"2012-2019","full"
"11700",18883,13202,-0.357893713132862,4.37298143283459,"2012-2019","full"
"11800",6473,3413,-0.640048009638804,9.02467473848306,"2012-2019","full"
"11900",25429,20552,-0.212931995219748,3.9676348580336,"2012-2019","full"
"12001",9906,4835,-0.71725950526079,-18.8901789161627,"2012-2019","full"
"12002",3009,926,-1.17848884198387,0.227661851426932,"2012-2019","full"
"1201",1332,103,-2.5597078628707,4.8382768725448,"2012-2019","full"
"1202",1145,14,-4.40410258637308,6.11698344402445,"2012-2019","full"
"1203",20441,14834,-0.320620844503473,10.3767053873189,"2012-2019","full"
"1204",1875,96,-2.97201574693668,10.8556690984051,"2012-2019","full"
"12100",33507,33847,0.0100959969114758,7.42537257909469,"2012-2019","full"
"12200",118403,134841,0.130002246568589,4.21921840191282,"2012-2019","full"
"12301",6474,5440,-0.1740150946362,2.81408105284789,"2012-2019","full"
"12302",4020,790,-1.627004236152,3.40033462604709,"2012-2019","full"
"12401",2974,1759,-0.525162382282542,1.1919546775307,"2012-2019","full"
