"cz","L_manuf_t0","L_manuf_t1","d_ln_L","IPW","period","sample"
"100",66877,50390,-0.283062368618527,20.2778968124464,"1999-2011","manuf"
"10000",4112,3804,-0.0778563834697206,8.63273217451432,"1999-2011","manuf"
"1001",4043,2057,-0.675738379987814,22.7484370102716,"1999-2011","manuf"
"1002",30730,13889,-0.794142216208311,16.7372505924277,"1999-2011","manuf"
"10101",3809,1505,-0.928573789295629,17.4562324227301,"1999-2011","manuf"
"10102",5545,4132,-0.294135069544939,12.4886059136646,"1999-2011","manuf"
"10200",11750,8537,-0.319443582561998,9.6953922673073,"1999-2011","manuf"
"10301",6330,5485,-0.14328314242889,11.7870971219852,"1999-2011","manuf"
"10302",18037,9494,-0.641765183558936,15.283848921657,"1999-2011","manuf"
"10400",14438,5963,-0.884289909575999,31.7203673825328,"1999-2011","manuf"
"10501",9125,5348,-0.534295240228857,12.7629579975665,"1999-2011","manuf"
"10502",11372,4378,-0.954562194688082,19.6169212169806,"1999-2011","manuf"
"10600",20394,9057,-0.811702800549222,12.5867738509392,"1999-2011","manuf"
"10700",60410,41633,-0.372261532124403,9.98144156824208,"1999-2011","manuf"
"10801",21885,18694,-0.157598853882465,8.89636284146891,"1999-2011","manuf"
"10802",5607,4105,-0.311810074237144,5.84492919406432,"1999-2011","manuf"
"10900",13811,7285,-0.639647936448624,14.3611887693581,"1999-2011","manuf"
"1100",82077,43081,-0.644575766400452,16.9087574051152,"1999-2011","manuf"
"11001",34407,26165,-0.273837392226323,15.4796158431474,"1999-2011","manuf"
"11002",7683,2980,-0.947086795368184,18.0182937033434,"1999-2011","manuf"
"11101",20202,20674,0.0230952627393002,16.6836448104012,"1999-2011","manuf"
"11102",7502,5777,-0.261285134860566,22.5537006062616,"1999-2011","manuf"
"11201",9007,7111,-0.236359171900224,17.0496833715708,"1999-2011","manuf"
"11202",243,212,-0.136475168668536,12.223418977581,"1999-2011","manuf"
"11203",1569,1124,-0.333544722279396,10.4797549280997,"1999-2011","manuf"
"11301",5558,3249,-0.536891074633349,8.44280884678614,"1999-2011","manuf"
"11302",88419,59490,-0.39627864747588,13.1145813604914,"1999-2011","manuf"
"11303",3485,1984,-0.563353035349806,11.5867307212091,"1999-2011","manuf"
"11304",70043,52351,-0.291138299836552,26.5477761722868,"1999-2011","manuf"
"11401",5771,5096,-0.124389457458967,6.9074953296282,"1999-2011","manuf"
"11402",14793,10708,-0.323162970251992,8.74293109493225,"1999-2011","manuf"
"11403",1218,958,-0.240117670298982,8.59839388320189,"1999-2011","manuf"
"11500",31362,16964,-0.614503517346495,11.4737664926323,"1999-2011","manuf"
"11600",422537,218564,-0.659198139101855,8.4212479286449,"1999-2011","manuf"
"11700",25417,18883,-0.297156195088071,5.91035872229675,"1999-2011","manuf"
"11800",7048,6473,-0.0851042090705061,9.01267439738261,"1999-2011","manuf"
"11900",50446,25429,-0.685013202206752,8.41442671339799,"1999-2011","manuf"
"12001",12991,9906,-0.271116175847549,23.2552238784588,"1999-2011","manuf"
"12002",4588,3009,-0.421836401619217,10.108623249234,"1999-2011","manuf"
"1201",4275,1332,-1.16610253027053,11.8213689307292,"1999-2011","manuf"
"1202",2119,1145,-0.615539642279959,22.2656831348043,"1999-2011","manuf"
"1203",37220,20441,-0.599303563396264,14.8181213719868,"1999-2011","manuf"
"1204",6695,1875,-1.27275231972076,39.4071076926466,"1999-2011","manuf"
"12100",48480,33507,-0.369396969534259,9.9924773967788,"1999-2011","manuf"
"12200",176489,118403,-0.399164491518274,10.8302242265999,"1999-2011","manuf"
"12301",10923,6474,-0.523076502357354,14.4198726546376,"1999-2011","manuf"
"12302",6664,4020,-0.505438002233612,10.4136112553787,"1999-2011","manuf"
"12401",4663,2974,-0.44975116978822,7.1261915348116,"1999-2011","manuf"
"12402",5118,3608,-0.349610135537221,11.2202376296369,"1999-2011","manuf"
"12501",130434,74263,-0.563254505170649,10.5913569000733,"1999-2011","manuf"
"12502",12507,7029,-0.576244039373002,14.24281046367,"1999-2011","manuf"
"12600",14556,7015,-0.72995256619549,9.30321672950142,"1999-2011","manuf"
"12701",146655,102000,-0.363110076341473,11.0488188291337,"1999-2011","manuf"
"12702",5872,2638,-0.800174237017091,33.1140843870616,"1999-2011","manuf"
"12800",14664,9070,-0.480423246410359,20.0185514124209,"1999-2011","manuf"
"12901",49785,33329,-0.401285844970799,30.9467107008183,"1999-2011","manuf"
"12902",3655,4524,0.213300465052132,23.7466205617599,"1999-2011","manuf"
"12903",11810,5210,-0.818366774443994,28.4231077413386,"1999-2011","manuf"
"13000",12286,7981,-0.431396685847865,17.1237890836304,"1999-2011","manuf"
"1301",9491,6935,-0.313762927381559,13.2460317832061,"1999-2011","manuf"
"1302",43390,22670,-0.649186535290822,16.0117048431012,"1999-2011","manuf"
"13101",92186,61212,-0.409465026486531,15.6473718122701,"1999-2011","manuf"
"13102",6846,4866,-0.341392295746664,9.32047713346874,"1999-2011","manuf"
"13103",6151,7586,0.209689773040475,8.17839464960278,"1999-2011","manuf"
"13200",18357,13062,-0.340303721668047,8.02656019612346,"1999-2011","manuf"
"13300",38137,26224,-0.374509917499783,20.1575113947508,"1999-2011","manuf"
"13400",34333,27025,-0.239344627251262,12.8910397227714,"1999-2011","manuf"
"13501",79223,51249,-0.435570555068661,9.59999639476543,"1999-2011","manuf"
"13502",19972,10729,-0.621380936983753,9.94554110324792,"1999-2011","manuf"
"13600",63036,40546,-0.441268859713823,11.9871861991107,"1999-2011","manuf"
"13700",92929,73962,-0.228284312926224,9.98051173239051,"1999-2011","manuf"
"13800",25406,18972,-0.292021158585934,8.96279963582409,"1999-2011","manuf"
"13900",33411,18254,-0.604500952984388,8.5393666382173,"1999-2011","manuf"
"1400",58022,26970,-0.766097111819626,17.1240303486539,"1999-2011","manuf"
"14000",42927,17869,-0.876433630696184,9.11119966067499,"1999-2011","manuf"
"14100",89409,56283,-0.462828812523824,15.7820168550319,"1999-2011","manuf"
"14200",112103,69588,-0.476825952857522,15.875887119433,"1999-2011","manuf"
"14300",26096,19691,-0.281620367315623,20.3785147145383,"1999-2011","manuf"
"14400",25061,21565,-0.150241222801812,8.39047742240292,"1999-2011","manuf"
"14500",43676,34291,-0.241915823080934,9.18391233104926,"1999-2011","manuf"
"14600",26155,17099,-0.425020394556118,20.7439693457779,"1999-2011","manuf"
"14700",50732,38678,-0.271285912265077,13.2850596242665,"1999-2011","manuf"
"14801",4690,3806,-0.208853813584231,8.68025464015815,"1999-2011","manuf"
"14802",2026,2465,0.196128401668162,9.14812578934651,"1999-2011","manuf"
"14900",51345,41219,-0.219668245550153,9.71622167779449,"1999-2011","manuf"
"1500",24788,20967,-0.16740989193676,13.2134398227621,"1999-2011","manuf"
"15000",82782,51969,-0.465563259489038,13.7723211713971,"1999-2011","manuf"
"15100",49580,27439,-0.591622167562114,10.0692202838724,"1999-2011","manuf"
"15200",236984,145269,-0.489405432180305,11.657568351342,"1999-2011","manuf"
"15300",18918,12071,-0.449307968071988,11.2749327653451,"1999-2011","manuf"
